URL de origen,URL de destino,Texto del enlace
https://untref.edu.ar/mundountref/las-inscripciones-para-las-carreras-de-grado-2025-comenzaran-el-7-de-octubre,https://untref.edu.ar/mundountref/eric-sadin-el-origen-de-la-locura-es-cuando-ya-nadie-cree-en-nada,"

                                                Éric Sadin: “El origen de la locura es cuando ya nadie cree en nada”

                        Desilusión, desconfianza, rencor, resentimiento, locura son algunas de las características con las que Éric Sadin describió la sociedad actual en una conferencia magistral que ofreció ante más de 500...
                    
"
https://untref.edu.ar/mundountref/eric-sadin-el-origen-de-la-locura-es-cuando-ya-nadie-cree-en-nada,https://untref.edu.ar/mundountref/crisis-economica-la-argentina-decrece-en-una-region-que-intenta-prosperar,"

                                                Crisis económica: la Argentina decrece en una región que intenta prosperar

                        El contraste actual entre la economía argentina y la del resto de Latinoamérica fue el centro de los debates del primero de los seis encuentros de la nueva edición del Seminario de Pensamiento Económico Argentino,...
                    
"
https://untref.edu.ar/mundountref/eric-sadin-el-origen-de-la-locura-es-cuando-ya-nadie-cree-en-nada,https://untref.edu.ar/mundountref/el-curso-de-ingreso-sera-intensivo-y-abarcara-los-meses-de-febrero-y-marzo,"

                                                El Curso de Ingreso será intensivo y abarcará los meses de febrero y marzo

                        La UNTREF implementará un Curso de Ingreso intensivo que abarcará un mes y medio. Se desarrollará desde principios de febrero hasta mediados de marzo. Esto permitirá a quienes lo aprueben empezar a cursar sus carreras...
                    
"
https://untref.edu.ar,https://untref.edu.ar/mundountref/katopodis-y-kaufmann-firmaron-un-acuerdo-para-terminar-el-campus-de-la-sede-lynch,"


"
https://untref.edu.ar,https://untref.edu.ar/mundountref/en-la-colacion-de-grado-y-posgrado-martin-kaufmann-llamo-a-defender-la-universidad-publica,"


"
https://untref.edu.ar,https://untref.edu.ar/mundountref/la-revista-ciencia-hoy-continuara-editandose-por-la-untref,"


"
https://untref.edu.ar,https://untref.edu.ar/mundountref/ya-funciona-en-el-chalten-el-aerogenerador-creado-por-investigadores-de-la-untref,"


"
https://untref.edu.ar,https://untref.edu.ar/mundountref/coctel-peligroso-aumento-del-crimen-e-insuficientes-respuestas-gubernamentales,"


"
https://untref.edu.ar,https://untref.edu.ar/mundountref/untref-25-anos-como-se-gesto-una-nueva-identidad-universitaria-en-la-argentina,"


"
https://untref.edu.ar,https://untref.edu.ar/mundountref/la-untref-y-el-municipio-de-tigre-firman-un-convenio-de-proteccion-medioambiental,"




                                                        La UNTREF y el Municipio de Tigre firman un convenio de protección medioambiental
                        
 El acuerdo entre la Universidad y el Municipio permitirá desarrollar un plan de actividades en la Reserva del Área Natural Protegida Monte Blanco, ubicada en el Delta.

"
https://untref.edu.ar,https://untref.edu.ar/mundountref/empezo-el-nuevo-ciclo-de-conferencias-sobre-migraciones-internacionales,"




                                                        Empezó el nuevo Ciclo de Conferencias sobre Migraciones Internacionales
                        
 A través de cuatro charlas, se expone una visión general sobre el fenómeno migratorio. La actividad es organizada por el Instituto de Políticas de Migraciones y Asilo (IPMA).

"
https://untref.edu.ar,https://untref.edu.ar/mundountref/una-apuesta-necesaria-a-la-educacion-financiera-para-jovenes,"




                                                        Una apuesta necesaria a la educación financiera para jóvenes
                        
 En el marco de la Semana Mundial del Inversor, la UNTREF llevó a cabo dos jornadas de capacitación para alumnos y alumnas de escuelas secundarias con orientación en economía.

"
https://untref.edu.ar,https://untref.edu.ar/mundountref,"
Ver más noticias >
"
https://untref.edu.ar/mundountref,https://untref.edu.ar/mundountref/cat/institucional,Institucional
