SCC ID,URLs
343,['https://untref.edu.ar/mundountref/tags/especializacion-en-gestion-de-la-tecnologia-y-la-innovacion']
344,['https://untref.edu.ar/mundountref/tags/especializacion-en-gestion-de-lenguas']
345,['https://untref.edu.ar/mundountref/tags/especializacion-en-gestion-logistica-calidad-y-comercio-internacional-con-orientacion-en-alimentos']
346,['https://untref.edu.ar/mundountref/tags/especializacion-en-gestion-para-la-defensa']
347,['https://untref.edu.ar/mundountref/tags/especializacion-en-gestion-publica']
348,['https://untref.edu.ar/mundountref/tags/especializacion-en-industrias-culturales-en-la-convergencia-digital-2']
349,['https://untref.edu.ar/mundountref/tags/especializacion-en-infancia-temprana-y-practicas-institucionales']
350,['https://untref.edu.ar/mundountref/tags/especializacion-en-intervencion-y-gestion-gerontologica']
351,['https://untref.edu.ar/mundountref/tags/especializacion-en-politicas-agroalimentarias']
352,['https://untref.edu.ar/mundountref/tags/especializacion-en-politicas-sociales-urbanas']
353,['https://untref.edu.ar/mundountref/tags/especializacion-en-tributacion-local']
354,['https://untref.edu.ar/mundountref/tags/orientacion-vocacional-y-educativa']
355,['https://untref.edu.ar/mundountref/tags/especializacion-y-diplomatura-en-derechos-humanos']
356,['https://untref.edu.ar/mundountref/tags/especializacion-y-maestria-en-curaduria-en-artes-visuales']
357,['https://untref.edu.ar/mundountref/tags/estacion-untref']
358,['https://untref.edu.ar/mundountref/tags/estadistica']
359,['https://untref.edu.ar/mundountref/tags/estadistica-1']
360,['https://untref.edu.ar/mundountref/tags/estadistica-2']
